REG_KEY|CONTACT_ID|FIRM_NAME|OWNER_OPERATOR_NUMBER
5|948632|BARNHARDT MFG. CO.|1010842
6|948632|BARNHARDT MFG. CO.|1010842
16|3395481|CORDIS CORPORATION|1016427
17|3395481|CORDIS CORPORATION|1016427
21|948646|MEDICAL SPECIALTIES, INC.|1016498
51|2916370|Smith & Nephew, Inc.|1020279
55|2916370|Smith & Nephew, Inc.|1020279
79|948692|PROFESSIONAL PRODUCTS, INC.|1026765
145|2926635|HEIDELBERG MEDICAL, INC.|1031128
155|1954733|PETER BRASSELER HOLDINGS, L.L.C.|1032227
157|948813|THE QUALITY ASSURANCE SERVICE CORP.|1032263
190|1948530|MCPHERSON ENTERPRISES, INC.|1033972
195|2703188|WEBSTER ENTERPRISES OF JACKSON COUNTY, INC.|1034084
196|1948518|RICO SUCTION LABS, INC.|1034117
213|948957|IMMUCOR, INC.|1034569
245|1085866|SUNGLASS HUT INTERNATIONAL, INC.|1035170
246|1085866|SUNGLASS HUT INTERNATIONAL, INC.|1035170
281|1971165|SUNVISTA IMPORT, INC.|1035819
297|2044767|SUNOPTIC TECHNOLOGIES, LLC|1035968
323|2645091|AWARENESS TECHNOLOGY, INC.|1036223
352|2182321|FAIRFAX DENTAL, INC.|1036521
392|1926161|SUNTECH MEDICAL, INC.|1036863
395|2775186|FAMILY DOLLAR STORES|1036966
398|949460|ADVANCED LABELWORX|1036988
405|949475|U.S. IOL, INC.|1037089
427|1934336|ANGIOSYSTEMS, INC.|1037577
429|1920947|THERAGENICS CORP.|1037598
430|1920947|THERAGENICS CORP.|1037598
468|2260764|SOUTHEASTERN EMERGENCY EQUIPMENT, INC.|1038314
487|1093334|HQ, INC.|1038689
494|2101458|Optimetrics, Inc.|1038753
497|949699|ASO LLC|1038758
498|949699|ASO LLC|1038758
507|1937022|MEDICAL ENERGY, INC.|1038823
516|1115885|PREFERRED MEDICAL PRODUCTS|1038913
525|1912176|BRUDER HEALTHCARE COMPANY, LLC|1039131
533|1379418|Erba Diagnostics|1039311
